gene name	UniProt ID	logFC	P.Value
HSPB1	P04792	0.328271111	9.01E-19
GFAP (K7EKD1)	K7EKD1	0.561277703	6.88E-17
GFAP (P14136)	P14136	0.343616879	1.50E-16
VGF	O15240	-0.608847129	1.20E-15
PAFAH1B3	Q15102	0.149236652	2.07E-14
RPH3A	Q9Y2J0	-0.318579039	6.07E-14
PADI2	Q9Y2J8	0.272044724	1.06E-12
STXBP1	P61764	-0.124617641	1.32E-12
AK1	P00568	0.110852069	1.66E-12
IDH2	P48735	-0.088886608	1.71E-12
SYT12	Q8IV01	-0.293582737	3.74E-12
DBI	P07108	0.183951799	6.90E-12
PRDX6	P30041	0.15867298	9.57E-12
GNAI1	P63096	-0.096527359	1.78E-11
BAG3	O95817	0.280949012	2.87E-11
NRN1	Q9NPD7	-0.239561326	2.92E-11
PHF24	Q9UPV7	-0.169625916	5.17E-11
DDAH2	O95865	0.180370047	7.86E-11
SLC2A3	P11169	-0.151688546	7.91E-11
GNG12	Q9UBI6	0.20255142	1.20E-10
PLCD1	P51178	0.205726025	2.48E-10
MSN	P26038	0.145062809	2.64E-10
CAPN2	P17655	0.166091905	2.83E-10
LRPPRC	P42704	-0.107012172	3.64E-10
MAOB	P27338	0.14419009	4.08E-10
LTA4H	P09960	0.087757075	6.60E-10
PRDX1	Q06830	0.106736461	6.61E-10
NECTIN1	Q15223	-0.152080875	6.85E-10
NDUFA8	P51970	-0.127368489	9.22E-10
ANXA5	P08758	0.199908782	1.15E-09
DNM1L	O00429-6	-0.089480543	1.20E-09
NDUFS5	O43920	-0.139646263	1.89E-09
NNT	Q13423	-0.080911718	2.75E-09
MAPK3	P27361	0.110416476	3.54E-09
GSTP1	P09211	0.131013874	4.15E-09
ACTN4	O43707	-0.071674069	6.09E-09
GAPDH	P04406	0.066610211	6.52E-09
SCRN1	Q12765	0.05262679	7.39E-09
SAMM50	Q9Y512	-0.090896189	7.87E-09
NDUFA2	O43678	-0.117186756	8.72E-09
PAK1	Q13153	-0.088079593	8.98E-09
BDH2	Q9BUT1	0.221262666	9.22E-09
FARSB	Q9NSD9	-0.124315901	1.04E-08
TAGLN3	Q9UI15	-0.096365557	1.16E-08
PDHA1	P08559	-0.113397317	1.24E-08
SLC25A22	Q9H936	-0.120562424	1.32E-08
GJA1	P17302	0.172442303	1.37E-08
APOE	P02649	0.208221343	1.48E-08
