gene name	UniProt ID	logFC	P.Value
ABL1	P00519	0.570664794	4.35E-44
SDC4	P31431	0.584912549	5.12E-38
ITGB2	P05107	0.841699975	1.10E-37
MMP10	P09238	0.757394196	3.84E-37
CLEC5A	Q9NY25	1.014897176	4.86E-35
DDAH1	O94760	0.625824122	8.46E-34
TMSB10	P63313	1.005212826	1.04E-33
OLR1	P78380	0.377452963	1.42E-30
GLO1	Q04760	0.590110637	1.38E-29
TREM1	Q9NP99	0.512374047	1.46E-27
CCN1	O00622	0.703755507	5.01E-27
MIF	P14174	0.709741356	1.11E-26
THOP1	P52888	0.557159523	1.48E-26
ENO2	P09104	0.359806948	3.92E-25
PPP1R2	P41236	0.538305953	1.72E-24
CCL3	P10147	0.474132593	6.79E-24
FKBP4	Q02790	0.583837619	1.35E-23
SMOC2	Q9H3U7	0.650676468	2.35E-23
SOD2	P04179	0.472957104	3.17E-23
SOD1	P00441	0.289151387	1.16E-22
TNFRSF1B	P20333	0.586776082	4.72E-22
KYAT1	Q16773	0.466183544	8.79E-22
CSTB	P04080	0.620746497	1.06E-21
PEBP1	P30086	0.465658624	2.11E-21
STX8	Q9UNK0	0.405051805	1.01E-20
TNFSF13	O75888	0.512515289	2.19E-20
TIGAR	Q9NQ88	0.259827404	3.23E-20
RSPO3	Q9BXY4	0.629497116	1.17E-19
VSIG4	Q9Y279	0.609628371	1.79E-19
PLAUR	Q03405	0.502556673	7.00E-19
METAP2	P50579	0.307750321	1.02E-18
PARK7	Q99497	0.597555777	1.99E-18
TNFRSF11A	Q9Y6Q6	0.450033794	2.23E-18
HGF	P14210	0.415307751	3.18E-18
TNFRSF10C	O14798	0.496851337	8.68E-18
CD69	Q07108	0.468545269	1.32E-17
CD83	Q01151	0.403243242	2.35E-17
IGF1R	P08069	0.346431171	2.42E-17
HSPB1	P04792	0.805435583	1.44E-16
SIGLEC9	Q9Y336	0.427734495	1.44E-16
LGALS8	O00214	0.378727174	1.57E-16
SIRT2	Q8IXJ6	0.422253702	1.62E-16
SCAMP3	O14828	0.361300816	1.90E-16
TNFRSF12A	Q9NP84	0.41301716	3.55E-16
EZR	P15311	0.362728882	4.91E-16
LGALS9	O00182	0.322091207	9.48E-16
DKK1	O94907	0.382465814	1.30E-15
LILRB1	Q8NHL6	0.382096938	2.90E-15
SCARB2	Q14108	0.369514557	4.43E-15
BLMH	Q13867	0.433794798	5.22E-15
ACAN	P16112	0.423662765	1.15E-14
DPP10	Q8N608	0.385986372	1.77E-14
NUDT5	Q9UKK9	0.463921568	1.78E-14
TNFRSF1A	P19438	0.40685339	2.33E-14
DDC	P20711	0.400782677	4.85E-14
GLRX	P35754	0.383653186	7.46E-14
ANGPTL4	Q9BY76	0.508627454	1.08E-13
PILRB	Q9UKJ0	0.3724504	1.31E-13
SERPINB6	P35237	0.170566615	1.46E-13
CPB1	P15086	0.487030764	1.47E-13
GPNMB	Q14956	0.384405573	1.95E-13
FAS	P25445	0.448470487	2.92E-13
MILR1	Q7Z6M3	0.401227861	3.76E-13
CXCL16	Q9H2A7	0.28332299	4.45E-13
SPON1	Q9HCB6	0.512774447	5.04E-13
ADGRG1	Q9Y653	0.528946671	5.97E-13
MMP12	P39900	1.066305782	7.95E-13
F11R	Q9Y624	0.399851928	1.05E-12
IL18BP	O95998	0.396870249	1.06E-12
PILRA	Q9UKJ1	0.398126779	1.07E-12
DFFA	O00273	0.305325025	2.02E-12
DPP6	P42658	0.254144474	2.49E-12
MMP3	P08254	0.516584645	2.61E-12
TNFSF12	O43508	0.333885813	3.24E-12
CCDC80	Q76M96	0.357559344	3.33E-12
SIGLEC7	Q9Y286	0.403768583	4.04E-12
ICAM1	P05362	0.365508819	4.51E-12
MSR1	P21757	0.360903829	4.95E-12
FLT3LG	P49771	0.307372179	5.04E-12
LILRB4	Q8NHJ6	0.267447869	5.09E-12
PECAM1	P16284	0.346397532	7.26E-12
VASN	Q6EMK4	0.357472403	7.88E-12
SERPINE1	P05121	0.449860627	9.84E-12
COMP	P49747	0.584295778	9.88E-12
CXCL9	Q07325	0.720264782	1.03E-11
LAIR1	Q6GTX8	0.435587004	1.05E-11
IGFBP1	P08833	0.379711296	1.21E-11
