	Q01433	P05067	P41240	P49674	P04792	Q92743	P05362	O95631	Q99784	Q15102	O14829	Q6U841	Q92563
0	0.021124289	0.015972638	0.017575468	-0.001015195	-0.025162516	0.00870548	0.040927236	0.080275962	0.023357827	0.039854268	0.033403071	0.007812326	0.06800721
1	-0.061027567	0.01076482	-0.022503089	0.012782901	0.01610658	0.017112013	0.051734579	0.065334051	0.049420479	-0.025195986	0.023924278	0.002080907	0.027714851
2	0.025673222	0.018479868	0.036302714	0.016128253	0.027490876	0.021158102	0.042819072	0.073453502	0.032971683	0.029030259	0.029524973	0.020216932	0.006955381
3	-0.034080134	-0.01920055	-0.024531319	-0.013802631	-0.024727721	-0.021284038	-0.023272882	-0.124083778	-0.04079103	-0.063793175	-0.033063203	-0.032741022	-0.055364813
4	0.019170254	0.012620956	0.018168899	0.012936173	0.025174196	0.025505856	0.035128291	0.057178136	0.007340171	0.044740484	0.026384131	0.033582054	0.06054325
5	-0.033362408	-0.02066414	-0.024817213	-0.013504413	-0.025244267	-0.017269768	-0.020150743	-0.121338854	-0.03944472	-0.064425056	-0.047333816	-0.035298278	-0.054540344
6	0.0301957	0.015471886	0.03084277	0.026409081	0.0003122	-0.004345396	0.012161314	0.066078897	-0.001929198	0.046929666	0.02863533	0.027474922	-0.008936075
7	-0.036600788	-0.03051865	-0.023436684	-0.011350067	-0.015826243	-0.018133963	-0.023145679	-0.131834936	-0.031391648	-0.065256783	-0.031591913	-0.025124088	-0.070238693
8	-0.013514609	-0.010130349	-0.02650042	-0.011147507	0.016874289	-0.020441205	0.003180209	-0.131604221	-0.04432121	-0.043777428	-0.072678593	-0.018785484	-0.072356658
9	0.040722927	0.01882519	-0.040920273	0.005450946	-0.000772041	-0.014830455	-0.030240093	0.074067938	0.034953994	-0.011850121	0.028440626	0.024772532	0.005247417
10	-0.055500808	-0.000483621	0.009661043	-0.006170533	-0.023545398	-0.013496544	0.059080107	0.046963638	0.061031257	-0.032222583	0.046376627	0.011251246	-0.007055734
11	0.026186017	0.004423142	0.022189607	0.014121043	0.026462156	0.024544362	0.038872223	0.063769585	0.028352809	0.044902878	0.029430584	0.020258746	0.053647426
12	-0.003912018	0.037721421	-0.028402674	-0.011392157	-0.017907656	0.021111192	0.010511153	-0.120627383	-0.028204925	-0.039254525	0.031902133	-0.023313908	0.105623634
13	0.022151851	0.020682815	-0.003329525	0.018032696	0.025407086	0.021195569	-0.016365281	-0.052924317	0.043983366	0.030312907	0.033231369	0.021476026	0.085662966
