gene name	UniProt ID	logFC	P.Value
CHI3L1	P36222	0.321790857	8.47E-28
PGK1	P00558	0.286833657	1.44E-25
NPTX2	P47972	-0.304926123	7.08E-24
BASP1	P80723	0.323789969	1.26E-22
PPIA	P62937	0.234613176	1.28E-21
GAPDH	P04406	0.322342774	2.90E-21
LDHB	P07195	0.197257246	8.44E-21
PEBP1	P30086	0.190371658	1.63E-20
SPP1	P10451	0.215527005	2.36E-18
NPY	P01303	-0.276881267	2.97E-14
GOT1	P17174	0.168778299	6.12E-14
ENO2	P09104	0.154356489	9.72E-12
SPON1	Q9HCB6	0.138433987	4.24E-11
NPTXR	O95502	-0.215281916	4.77E-11
VGF	O15240	-0.238014293	3.90E-10
CAMK2B	Q13554	0.150826359	6.08E-09
SOD1	P00441	0.126809104	8.00E-09
ALDOC	P09972	0.107702687	2.56E-07
SCG2	P13521	-0.127119098	9.82E-07
SERPINF2	P08697	-0.133843752	1.50E-06
TXN	P10599	0.127566049	2.21E-06
ACTB	P60709	0.107129839	2.23E-06
SERPINA6	P08185	-0.143570138	8.61E-06
PCSK1	P29120	-0.172384111	8.82E-06
CHGB	P05060	-0.098154299	1.21E-05
PLXDC2	Q6UX71	0.092626354	2.62E-05
TF	P02787	-0.06930843	2.87E-05
C7	P10643	0.100512293	3.26E-05
VSTM2B	A6NLU5	-0.115099162	4.33E-05
VTN	P04004	-0.12936548	7.10E-05
C8A	P07357	-0.141758526	7.59E-05
PENK	P01210	-0.091973729	0.000109524
CAMK2A	Q9UQM7	0.131527294	0.000132633
DCN	P07585	-0.099103232	0.000202107
SCRG1	O75711	0.085746932	0.000240163
FGB	P02675	0.162866626	0.000308135
APOA1	P02647	-0.131147302	0.000386405
NPTX1	Q15818	-0.090472817	0.000393764
FRZB	Q92765	0.086166144	0.000403072
ORM2	P19652	-0.127731106	0.000451583
FGG	P02679	0.16339266	0.000452797
AFM	P43652	-0.120056491	0.00053817
KNG1	P01042	-0.106159797	0.000885466
RNASE4	P34096	0.063377203	0.000980589
IGFBP2	P18065	0.063354295	0.001117419
APOM	O95445	-0.143656048	0.001206321
PON1	P27169	-0.143890276	0.001246625
HRG	P04196	-0.113477967	0.001304733
APOA4	P06727	-0.111155252	0.00192585
ECM1	Q16610	-0.060094508	0.001934696
SERPINF1	P36955	-0.053035528	0.00211536
CD14	P08571	0.064493988	0.002197008
LUM	P51884	-0.070153902	0.002323327
MAN1A1	P33908	-0.05957241	0.002452376
SERPINA3	P01011	0.071566312	0.002812649
F12	P00748	-0.120851176	0.00284471
KIT	P10721	-0.08024864	0.002923316
SERPIND1	P05546	-0.066373027	0.00311576
CST7	O76096	-0.083491678	0.003213169
PLG	P00747	-0.091656225	0.003227503
LAMP1	P11279	0.065338759	0.003377548
C2	P06681	-0.073392593	0.003449889
TGOLN2	O43493	0.063734107	0.004401021
SERPINC1	P01008	-0.079734172	0.004940434
FGA	P02671	0.119758723	0.005018451
C8B	P07358	-0.097660644	0.005321177
PTGDS	P41222	0.044324423	0.006261949
TALDO1	P37837	0.07504527	0.007163965
RTN4RL2	Q86UN3	-0.081932609	0.007217731
MCAM	P43121	-0.054374718	0.008192958
CPB2	Q96IY4	-0.075802471	0.00835001
PTPRN	Q16849	-0.076769585	0.01196815
IGFBP7	Q16270	-0.061970529	0.013747606
CTSD	P07339	-0.061266543	0.013764841
MEGF10	Q96KG7	0.058706441	0.014485746
EFEMP1	Q12805	0.044355719	0.014720487
CCN3	P48745	0.04539323	0.01507846
B4GAT1	O43505	-0.05296598	0.017658114
CTSZ	Q9UBR2	-0.055434945	0.018565663
F2	P00734	-0.066154597	0.021878322
HSPG2	P98160	0.044019777	0.02313428
NUCB1	Q02818	-0.035158331	0.029487311
HABP2	Q14520	-0.073622178	0.033043141
PTPRF	P10586	-0.054880774	0.034218244
CPQ	Q9Y646	-0.051574812	0.034683059
PTPRZ1	P23471	0.041602097	0.035218563
ITIH1	P19827	-0.078822919	0.037444456
IGLV3-19	P01714	-0.091895071	0.041269585
HTRA1	Q92743	0.044232636	0.046810758
CPN2	P22792	-0.079266884	0.046897581
A1BG	P04217	-0.057520497	0.050388059
TIMP1	P01033	0.038456965	0.05249762
SERPINI1	Q99574	-0.048848808	0.057072644
GSN	P06396	0.033210991	0.059687655
COLEC12	Q5KU26	0.035415607	0.060572961
