gene name	UniProt ID	logFC	P.Value
NTN1	O95631	0.615343412	1.22E-56
PAFAH1B3	Q15102	0.144492216	2.14E-42
SPOCK2	Q92563	0.142879838	2.19E-39
HSPB1	P04792	0.274993902	3.76E-37
PBXIP1	Q96AQ6	0.189345159	2.36E-35
PPEF1	O14829	-0.194726306	4.21E-35
ICAM1	P05362	0.348247712	8.37E-35
OLFM1	Q99784	-0.149220248	8.83E-35
SLC4A10	Q6U841	-0.185607623	3.37E-34
PLCL2	Q9UPR0	-0.089614976	7.44E-34
RPH3A	Q9Y2J0	-0.173248705	5.58E-32
PTRHD1	Q6GMV3	0.115602622	8.60E-32
APP	P05067	0.249897326	1.56E-31
SYT12	Q8IV01	-0.161884843	3.84E-30
CSK	P41240	0.068810215	4.53E-30
AMPD2	Q01433	0.092352287	8.39E-30
GMPR	P36959	0.232990335	9.99E-30
SGTB	Q96EQ0	-0.101869683	3.36E-29
VGF	O15240	-0.266214842	1.56E-28
GPNMB	Q14956	0.391284994	1.74E-28
CDH10	Q9Y6N8	-0.100122451	5.19E-28
ADGRG1	Q9Y653	0.153420134	5.90E-28
RGS7	P49802	-0.085058461	6.81E-28
FBXO41	Q8TF61	-0.090568524	1.37E-27
OLFM3	Q96PB7	-0.149997949	2.16E-27
GFAP	P14136	0.358398029	2.44E-27
NCALD	P61601	-0.126571658	4.00E-27
HTRA1	Q92743	0.239159887	8.59E-27
HPCA	P84074	-0.138892664	1.14E-26
ADAM11	O75078	-0.079864429	4.68E-26
RASGRF1	Q13972	-0.092835862	7.73E-26
KIAA1549L	Q6ZVL6	-0.109191796	8.71E-26
APCS	P02743	0.413060847	9.35E-26
PLCB1	Q9NQ66	-0.117950869	9.91E-26
FARSB	Q9NSD9	-0.0958377	1.03E-25
GFRA2	O00451	-0.139862059	1.08E-25
PHF24	Q9UPV7	-0.100508222	1.14E-25
PRDX1	Q06830	0.102781325	2.72E-25
PLXNB1	O43157	0.09278069	2.91E-25
CMBL	Q96DG6	0.086463155	3.32E-25
MAPK3	P27361	0.09715973	4.65E-25
CBARP	Q8N350	-0.115802767	5.86E-25
FBXL16	Q8N461	-0.093385475	6.35E-25
ERO1A	Q96HE7	-0.065116872	6.38E-25
IGFBP5	P24593	0.17470227	7.36E-25
SLC4A8	Q2Y0W8	-0.115422984	1.28E-24
MACROD1	Q9BQ69	0.116689222	2.45E-24
ACTN4	O43707	-0.067166719	2.49E-24
AKR1B1	P15121	0.070065905	2.81E-24
LGI4	Q8N135	0.089448444	5.23E-24
CSNK1E	P49674	0.059625496	1.07E-23
FAH	P16930	0.140364866	1.08E-23
PRMT8	Q9NR22	-0.089582549	1.39E-23
ITGAV	P06756	0.068898649	2.13E-23
PRKAB2	O43741	0.089084361	2.17E-23
SGIP1	Q9BQI5	-0.075149943	2.38E-23
PADI2	Q9Y2J8	0.175815377	2.47E-23
BBOX1	O75936	0.181616669	3.57E-23
PGLS	O95336	0.079155672	4.13E-23
SNAP25	P60880	-0.085815237	4.58E-23
FABP7	O15540	0.177628086	6.72E-23
LRPPRC	P42704	-0.101425255	1.04E-22
C4B	P0C0L5	0.287309532	1.17E-22
C4A	P0C0L4	0.275362215	1.17E-22
NGEF	Q8N5V2	-0.12241895	1.24E-22
CAPN2	P17655	0.109872315	1.79E-22
SEPTIN7	Q16181	-0.07507993	1.87E-22
NECTIN1	Q15223	-0.080267835	4.57E-22
IDH2	P48735	-0.072514138	9.21E-22
PLCD3	Q8N3E9	0.107763069	1.37E-21
EEA1	Q15075	-0.041764197	1.46E-21
UPF2	Q9HAU5	0.057002286	1.78E-21
PRKCE	Q02156	-0.069492023	2.31E-21
CLPTM1	O96005	-0.057720949	2.59E-21
MAP3K5	Q99683	0.058491819	3.09E-21
SLC25A46	Q96AG3	-0.067654377	3.73E-21
RAB29	O14966	0.09769861	4.02E-21
PLXNA4	Q9HCM2	-0.073497115	4.07E-21
DOCK3	Q8IZD9	-0.053126934	7.48E-21
CD109	Q6YHK3	0.173249479	9.03E-21
BRINP1	O60477	-0.058112018	1.04E-20
LTA4H	P09960	0.068219564	1.29E-20
STX1A	Q16623	-0.107548292	1.51E-20
PCYOX1L	Q8NBM8	-0.090276158	1.67E-20
MAPK1	P28482	0.084033534	1.76E-20
PPP1CA	P62136	-0.045488537	1.94E-20
GNAI1	P63096	-0.061995681	2.06E-20
QPRT	Q15274	0.140842912	2.07E-20
S100A6	P06703	0.226387025	2.22E-20
CACNG3	O60359	-0.100172571	2.32E-20
NAT8L	Q8N9F0	-0.088935159	2.99E-20
IRGQ	Q8WZA9	-0.075641153	3.40E-20
MAP2K6	P52564	0.065718413	3.53E-20
MAOB	P27338	0.119602671	3.68E-20
DBT	P11182	-0.065724643	4.46E-20
PLXDC2	Q6UX71	0.112351586	4.97E-20
ESD	P10768	0.091995178	6.43E-20
CAMKK2	Q96RR4	-0.103787038	6.60E-20
AAK1	Q2M2I8	-0.060724575	6.76E-20
LARP1	Q6PKG0	-0.05696552	7.78E-20
GNG12	Q9UBI6	0.131677208	8.21E-20
CRK	P46108	0.045169074	8.31E-20
HEBP2	Q9Y5Z4	0.110850028	8.88E-20
SYNGAP1	Q96PV0	-0.091311607	9.78E-20
ITPKB	P27987	0.120393884	1.05E-19
CLDN10	P78369	0.166758777	1.33E-19
GSTP1	P09211	0.110274398	1.67E-19
HSPB8	Q9UJY1	0.168447329	2.16E-19
SDC4	P31431	0.159360102	2.31E-19
PPP2R2C	Q9Y2T4	-0.071328714	2.69E-19
ABR	Q12979	-0.065050007	2.98E-19
SPON1	Q9HCB6	0.089914986	3.02E-19
PSMC4	P43686	0.046026596	4.88E-19
KIF5A	Q12840	-0.070429019	4.98E-19
DDAH2	O95865	0.101113325	5.70E-19
ATAD1	Q8NBU5	-0.064016937	6.37E-19
PAK1	Q13153	-0.081135782	7.29E-19
HOMER1	Q86YM7	-0.095213265	7.59E-19
